Sychronize,NumberImage,NumberPr,Partner,Condition,TuringResponsePlayer,CorrectTuringReply,Number,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPr.keys,key_respPr.rt,key_respPr.started,key_respPr.stopped,RTLeftPr,RTRightPr,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackLeftRightPr.started,FeedbackLeftRightPr.stopped,FeedbackRightLeftPr.started,FeedbackRightLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,textLeftLeftPr.started,textLeftLeftPr.stopped,textLeftRightPr.started,textLeftRightPr.stopped,textRightLeftPr.started,textRightLeftPr.stopped,textRightRightPr.started,textRightRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,TuringResponsePlayer,CorrectTuringReply,Turingtext.started,Turingtext.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,16.110363700000562,None,16.110363700000562,None,"['v', 'v', 't']","[651.5451885000002, 653.2504736000001, 655.3225653999998]",17.070183100000577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,,,,,,,,,,,,,,,,,672.4485148000003,None,672.4485148000003,None,675.4899724000006,None,675.4899724000006,None,675.9526696000003,None,675.9526696000003,None,"['v', 't']","[4.644086700000116, 6.387955799999872]",675.9526696000003,None,4.644086700000116,6.387955799999872,6,False,False,False,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,684.1042493000004,None,685.1082921000007,None,685.1082921000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number9.jpg,9,Human,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,686.1270626000005,None,686.1270626000005,None,686.6077702000002,None,686.6077702000002,None,"['v', 't']","[9.057017799999812, 10.080647199999476]",686.6077702000002,None,9.057017799999812,10.080647199999476,9,False,False,False,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,698.9629211000001,None,699.9777165000005,None,699.9777165000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number10.jpg,10,Computer,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,700.9967829000007,None,700.9967829000007,None,701.4755415,None,701.4755415,None,"['t', 'v']","[10.297217599999385, 11.24115619999975]",701.4755415,None,11.24115619999975,10.297217599999385,10,False,False,False,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,716.1783341999999,None,717.2177791000004,None,717.2177791000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number6.jpg,6,Human,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,718.2005256000002,None,718.2005256000002,None,718.6802324999999,None,718.6802324999999,None,"['t', 'v']","[6.468330600000627, 6.83274320000055]",718.6802324999999,None,6.83274320000055,6.468330600000627,6,False,False,False,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,729.2751615000006,None,730.2838656000004,None,730.2838656000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number7.jpg,7,Computer,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,731.3094652999998,None,731.3094652999998,None,731.7830686000007,None,731.7830686000007,None,"['t', 'v']","[6.8013246999998955, 7.949862199999188]",731.7830686000007,None,7.949862199999188,6.8013246999998955,7,False,False,False,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,742.2710137000004,None,743.2878552000011,None,743.2878552000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number8.jpg,8,Computer,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,744.3119534999996,None,744.3119534999996,None,744.7855621000008,None,744.7855621000008,None,"['t', 'v']","[8.32351799999924, 9.599498599998697]",744.7855621000008,None,9.599498599998697,8.32351799999924,8,False,False,False,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,757.1432611999999,None,758.1562266999999,None,758.1562266999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.1738386000006,None,"['space', 'space']","[114.32791580000048, 117.45198770000025]",760.1687498000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number8.jpg,,Computer,Computer.xlsx,1,c,8,,,,,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.6662960000003,None,877.6662960000003,None,880.6830543000005,None,880.6830543000005,None,881.1633960000008,None,881.1633960000008,None,"['t', 'v']","[6.649141500000042, 8.717030499999964]",881.1633960000008,None,8.717030499999964,6.649141500000042,8,False,False,False,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,893.5046415000006,None,894.5179631000001,None,894.5179631000001,None,1,c,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
Sychronize.jpg,Number10.jpg,,Computer,Computer.xlsx,1,c,10,,,,,0,0,0,1,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.5358721000002,None,895.5358721000002,None,896.0160363999994,None,896.0160363999994,None,"['v', 't']","[8.420501200000217, 10.016360200001145]",896.0160363999994,None,8.420501200000217,10.016360200001145,10,False,False,False,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,908.2919393000002,None,909.3045186999998,None,909.3045186999998,None,1,c,,,,,,,,,,,,,,,,,,9_10,001,2021_Feb_24_1129,ComputerHuman,2020.1.3,59.76879041132983,
