Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrLeft.started,key_respPrLeft.stopped,key_respPrRight.keys,key_respPrRight.rt,key_respPrRight.started,key_respPrRight.stopped,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,LineLeftPr.started,LineLeftPr.stopped,LineRightPr.started,LineRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,LineLeft.started,LineLeft.stopped,LineRight.started,LineRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,13.469808951115795,None,13.469808951115795,None,"['t', 't', 't', 't', 'v']","[130.25337788093083, 132.90533624828169, 135.48923784150526, 146.94095465095205, 263.01010533271955]",14.331638150750734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
,,,,,,,,,,,,,,,,,,,,,,,,,,277.3979427478896,None,277.3979427478896,None,336.153225984958,None,336.153225984958,None,336.6031585380133,None,336.6031585380133,None,v,11.824778130829372,336.6031585380133,None,t,10.0844855987541,336.6031585380133,None,11.824778130829372,10.0844855987541,10,False,False,True,348.4842530230827,None,348.4842530230827,None,348.4842530230827,None,348.4842530230827,None,349.48401050279654,None,349.48401050279654,None,350.48383182052214,None,"['space', 'space']","[15.43646016620346, 24.06021175613887]",351.4669805101588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.5784994217688,None,375.5784994217688,None,378.62791806278904,None,378.62791806278904,None,379.07780345912204,None,379.07780345912204,None,v,6.157174638665538,379.07780345912204,None,t,7.388581015730097,379.07780345912204,None,6.157174638665538,7.388581015730097,7,False,False,False,386.526432626036,None,386.526432626036,None,386.526432626036,None,386.526432626036,None,386.526432626036,None,386.526432626036,None,387.5427100358809,None,387.5427100358809,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.575915105068,None,388.575915105068,None,389.0425180406543,None,389.0425180406543,None,v,5.612186002794033,389.0425180406543,None,t,4.7476910047749925,389.0425180406543,None,5.612186002794033,4.7476910047749925,6,False,False,False,394.70814929112544,None,394.70814929112544,None,394.70814929112544,None,394.70814929112544,None,394.70814929112544,None,394.70814929112544,None,395.7079718920271,None,395.7079718920271,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.74097133224154,None,396.74097133224154,None,397.20746648103386,None,397.20746648103386,None,v,6.663113658928523,397.20746648103386,None,t,6.9067628193304245,397.20746648103386,None,6.663113658928523,6.9067628193304245,7,True,False,False,404.1900630841459,None,404.1900630841459,None,404.1900630841459,None,404.1900630841459,None,404.1900630841459,None,404.1900630841459,None,405.1897644249045,None,405.1897644249045,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.2395118798049,None,406.2395118798049,None,406.6889982083653,None,406.6889982083653,None,v,8.153267367387798,406.6889982083653,None,t,7.916619215883202,406.6889982083653,None,8.153267367387798,7.916619215883202,8,True,False,False,414.9045932893097,None,414.9045932893097,None,414.9045932893097,None,414.9045932893097,None,414.9045932893097,None,414.9045932893097,None,415.90447619948895,None,415.90447619948895,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.9540982239239,None,416.9540982239239,None,417.40419149478794,None,417.40419149478794,None,v,5.129860310239906,417.40419149478794,None,t,6.329587635314965,417.40419149478794,None,5.129860310239906,6.329587635314965,6,False,False,False,423.7862616748977,None,423.7862616748977,None,423.7862616748977,None,423.7862616748977,None,423.7862616748977,None,423.7862616748977,None,424.8027844921751,None,424.8027844921751,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.85258070776786,None,425.85258070776786,None,426.3024574426621,None,426.3024574426621,None,v,10.675260524851069,426.3024574426621,None,t,10.738716150214941,426.3024574426621,None,10.675260524851069,10.738716150214941,10,True,False,False,437.1170253411243,None,437.1170253411243,None,437.1170253411243,None,437.1170253411243,None,437.1170253411243,None,437.1170253411243,None,438.1168710391962,None,438.1168710391962,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.1666107950399,None,439.1666107950399,None,439.61655714223843,None,439.61655714223843,None,v,8.128913967853236,439.61655714223843,None,t,8.608518685450235,439.61655714223843,None,8.128913967853236,8.608518685450235,8,False,False,False,448.28158080881803,None,448.28158080881803,None,448.28158080881803,None,448.28158080881803,None,448.28158080881803,None,448.28158080881803,None,449.28145345358837,None,449.28145345358837,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.3475556296946,None,450.3475556296946,None,450.7810702651202,None,450.7810702651202,None,v,10.356048010034442,450.7810702651202,None,t,10.447518898778299,450.7810702651202,None,10.356048010034442,10.447518898778299,10,True,False,False,461.2790542350426,None,461.2790542350426,None,461.2790542350426,None,461.2790542350426,None,461.2790542350426,None,461.2790542350426,None,462.2788508516279,None,462.2788508516279,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.34521222931005,None,463.34521222931005,None,463.7785549191359,None,463.7785549191359,None,v,9.49426628791582,463.7785549191359,None,t,9.925513871935777,463.7785549191359,None,9.49426628791582,9.925513871935777,9,False,False,False,473.76004863237483,None,473.76004863237483,None,473.76004863237483,None,473.76004863237483,None,473.76004863237483,None,473.76004863237483,None,474.77640046643455,None,474.77640046643455,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.8093476172221,None,475.8093476172221,None,476.27607630406783,None,476.27607630406783,None,v,9.636378042931824,476.27607630406783,None,t,9.439543317619723,476.27607630406783,None,9.636378042931824,9.439543317619723,9,True,False,False,485.9908984317984,None,485.9908984317984,None,485.9908984317984,None,485.9908984317984,None,485.9908984317984,None,485.9908984317984,None,486.9907338644613,None,486.9907338644613,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8,001,2021_Apr_08_1013,ComputerHuman,2020.1.3,59.96746988413777,
