Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrLeft.started,key_respPrLeft.stopped,key_respPrRight.keys,key_respPrRight.rt,key_respPrRight.started,key_respPrRight.stopped,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,LineLeftPr.started,LineLeftPr.stopped,LineRightPr.started,LineRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,LineLeft.started,LineLeft.stopped,LineRight.started,LineRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,13.754416551371833,None,13.754416551371833,None,"['t', 'v']","[182.81452681559676, 182.91832254931433]",14.60429759086037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
,,,,,,,,,,,,,,,,,,,,,,,,,,197.57633473310125,None,197.57633473310125,None,253.02927933057435,None,253.02927933057435,None,253.49589741007003,None,253.49589741007003,None,v,6.469988172913872,253.49589741007003,None,t,11.396941253682598,253.49589741007003,None,6.469988172913872,11.396941253682598,10,False,False,False,264.9432870953242,None,264.9432870953242,None,264.9432870953242,None,264.9432870953242,None,265.9430981570986,None,265.9430981570986,None,266.9428049660273,None,"['space', 'space']","[39.192509128537495, 55.395342496249214]",267.9258521707525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number9.jpg,9,Computer,,,,,0,0,0,3,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.39565717944424,None,323.39565717944424,None,326.44477053307855,None,326.44477053307855,None,326.8948284495418,None,326.8948284495418,None,v,5.593662838611635,326.8948284495418,None,t,9.444969415424566,326.8948284495418,None,5.593662838611635,9.444969415424566,9,False,False,False,336.4092527124194,None,336.4092527124194,None,336.4092527124194,None,336.4092527124194,None,336.4092527124194,None,336.4092527124194,None,337.4089123669837,None,337.4089123669837,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number6.jpg,6,Computer,,,,,0,0,0,3,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.4586598986789,None,338.4586598986789,None,338.9085455573695,None,338.9085455573695,None,v,6.502950996993604,338.9085455573695,None,t,5.990226215839357,338.9085455573695,None,6.502950996993604,5.990226215839357,6,False,False,True,345.4736424756229,None,345.4736424756229,None,345.4736424756229,None,345.4736424756229,None,345.4736424756229,None,345.4736424756229,None,346.47341953493014,None,346.47341953493014,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number8.jpg,8,Computer,,,,,0,0,0,3,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.52286489377,None,347.52286489377,None,347.97304149808406,None,347.97304149808406,None,v,6.137821616008296,347.97304149808406,None,t,7.593125856277766,347.97304149808406,None,6.137821616008296,7.593125856277766,8,False,False,False,355.62116602152673,None,355.62116602152673,None,355.62116602152673,None,355.62116602152673,None,355.62116602152673,None,355.62116602152673,None,356.6376264226092,None,356.6376264226092,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number7.jpg,7,Computer,,,,,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.6704952587388,None,357.6704952587388,None,358.1372920115682,None,358.1372920115682,None,v,7.428720086249086,358.1372920115682,None,t,6.052163631411531,358.1372920115682,None,7.428720086249086,6.052163631411531,7,False,False,False,365.6187037297823,None,365.6187037297823,None,365.6187037297823,None,365.6187037297823,None,365.6187037297823,None,365.6187037297823,None,366.61850003576546,None,366.61850003576546,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number6.jpg,6,Computer,,,,,0,0,0,3,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.68467492840864,None,367.68467492840864,None,368.11818615451557,None,368.11818615451557,None,v,7.155123738499242,368.11818615451557,None,t,5.042103392515855,368.11818615451557,None,7.155123738499242,5.042103392515855,6,False,False,False,375.33302912888394,None,375.33302912888394,None,375.33302912888394,None,375.33302912888394,None,375.33302912888394,None,375.33302912888394,None,376.3494680378426,None,376.3494680378426,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number9.jpg,9,Computer,,,,,0,0,0,3,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.39905325587824,None,377.39905325587824,None,377.849299789792,None,377.849299789792,None,v,6.479309660135186,377.849299789792,None,t,9.193995292906038,377.849299789792,None,6.479309660135186,9.193995292906038,9,False,False,True,387.1135287790785,None,387.1135287790785,None,387.1135287790785,None,387.1135287790785,None,387.1135287790785,None,387.1135287790785,None,388.1132557970195,None,388.1132557970195,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number7.jpg,7,Computer,,,,,0,0,0,3,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.16291832254865,None,389.16291832254865,None,389.612913687306,None,389.612913687306,None,v,7.270699081065686,389.612913687306,None,t,7.186109607908293,389.612913687306,None,7.270699081065686,7.186109607908293,7,False,True,True,396.9444338765934,None,396.9444338765934,None,396.9444338765934,None,396.9444338765934,None,396.9444338765934,None,396.9444338765934,None,397.94413426996107,None,397.94413426996107,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
Computer.xlsx,c,Sychronize.jpg,Number10.jpg,10,Computer,,,,,0,0,0,3,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.01036690263936,None,399.01036690263936,None,399.443811086152,None,399.443811086152,None,v,8.011085445308709,399.443811086152,None,t,9.705930318683386,399.443811086152,None,8.011085445308709,9.705930318683386,10,False,False,True,409.20811658097955,None,409.20811658097955,None,409.20811658097955,None,409.20811658097955,None,409.20811658097955,None,409.20811658097955,None,410.22455998083024,None,410.22455998083024,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,3_4,001,2021_Apr_07_1428,ComputerHuman,2020.1.3,59.97416284053056,
