Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textLeft.started,textLeft.stopped,textRight.started,textRight.stopped,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,SychroLeftPr.started,SychroLeftPr.stopped,SychroRightPr.started,SychroRightPr.stopped,NumberLeftPr.started,NumberLeftPr.stopped,NumberRightPr.started,NumberRightPr.stopped,CrossLeftPr.started,CrossLeftPr.stopped,CrossRightPr.started,CrossRightPr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrLeft.started,key_respPrLeft.stopped,key_respPrRight.keys,key_respPrRight.rt,key_respPrRight.started,key_respPrRight.stopped,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,FeedbackLeftLeftPr.started,FeedbackLeftLeftPr.stopped,FeedbackRightRightPr.started,FeedbackRightRightPr.stopped,LineLeftPr.started,LineLeftPr.stopped,LineRightPr.started,LineRightPr.stopped,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,LineLeft.started,LineLeft.stopped,LineRight.started,LineRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,key_respLeft.rt,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.9601747073962,None,1771.9601747073962,None,1772.4103221199698,None,1772.4103221199698,None,None,1772.4103221199698,None,t,9.465251788245496,1772.4103221199698,None,13,9.465251788245496,9,False,False,False,1785.4570254898167,None,1785.4570254898167,None,1785.4570254898167,None,1785.4570254898167,None,1785.4570254898167,None,1785.4570254898167,None,1786.473474878915,None,1786.473474878915,None,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.523194183948,None,1787.523194183948,None,1787.9730904289768,None,1787.9730904289768,None,None,1787.9730904289768,None,t,7.257440638010394,1787.9730904289768,None,13,7.257440638010394,6,False,False,False,1801.0197614004564,None,1801.0197614004564,None,1801.0197614004564,None,1801.0197614004564,None,1801.0197614004564,None,1801.0197614004564,None,1802.0362316399892,None,1802.0362316399892,None,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1803.03600998383,None,1803.03600998383,None,a,0,16.90075802557294,1803.03600998383,None,l,0,10.65617921878902,1803.03600998383,None,c,c,1819.9984070267892,None,None,None,None,None,None,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,1,1,8,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.0138450094164,None,1825.0138450094164,None,1828.0795492200173,None,1828.0795492200173,None,1828.512973621634,None,1828.512973621634,None,v,1828.512973621634,None,t,9.44128405317042,1828.512973621634,None,12.378144446037368,9.44128405317042,8,False,False,False,1840.9431200141398,None,1840.9431200141398,None,1840.9431200141398,None,1840.9431200141398,None,1840.9431200141398,None,1840.9431200141398,None,1841.9429166422074,None,1841.9429166422074,None,12.378144446037368,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,1,1,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.9923889497827,None,1842.9923889497827,None,1843.4425225689915,None,1843.4425225689915,None,v,1843.4425225689915,None,t,8.283421562749936,1843.4425225689915,None,8.739674624154759,8.283421562749936,6,False,False,False,1852.2403496970755,None,1852.2403496970755,None,1852.2403496970755,None,1852.2403496970755,None,1852.2403496970755,None,1852.2403496970755,None,1853.2567621969429,None,1853.2567621969429,None,8.739674624154759,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,1,1,8,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.3062489394347,None,1854.3062489394347,None,1854.7564265049446,None,1854.7564265049446,None,v,1854.7564265049446,None,t,7.81242564013246,1854.7564265049446,None,8.044880400302645,7.81242564013246,6,True,False,False,1862.85433565543,None,1862.85433565543,None,1862.85433565543,None,1862.85433565543,None,1862.85433565543,None,1862.85433565543,None,1863.8707577785754,None,1863.8707577785754,None,8.044880400302645,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,1,1,8,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.9202676169334,None,1864.9202676169334,None,1865.3704429370114,None,1865.3704429370114,None,v,1865.3704429370114,None,t,10.873180278311793,1865.3704429370114,None,11.925668841848164,10.873180278311793,9,False,False,False,1877.350769429157,None,1877.350769429157,None,1877.350769429157,None,1877.350769429157,None,1877.350769429157,None,1877.350769429157,None,1878.3504845801413,None,1878.3504845801413,None,11.925668841848164,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,1,1,8,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.4000374024722,None,1879.4000374024722,None,1879.8501456803833,None,1879.8501456803833,None,v,1879.8501456803833,None,t,10.424219736636132,1879.8501456803833,None,11.344848868029658,10.424219736636132,9,False,False,False,1891.2472787776896,None,1891.2472787776896,None,1891.2472787776896,None,1891.2472787776896,None,1891.2472787776896,None,1891.2472787776896,None,1892.2470013065204,None,1892.2470013065204,None,11.344848868029658,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,1,1,8,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.29651178643,None,1893.29651178643,None,1893.7467073153912,None,1893.7467073153912,None,v,1893.7467073153912,None,t,10.950219426767035,1893.7467073153912,None,10.147240958209295,10.950219426767035,8,False,False,False,1904.7605555325667,None,1904.7605555325667,None,1904.7605555325667,None,1904.7605555325667,None,1904.7605555325667,None,1904.7605555325667,None,1905.7770665106414,None,1905.7770665106414,None,10.147240958209295,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,1,1,8,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.8265189301096,None,1906.8265189301096,None,1907.2599157449972,None,1907.2599157449972,None,v,1907.2599157449972,None,t,7.54447189217035,1907.2599157449972,None,11.604867261321033,7.54447189217035,7,False,False,False,1918.9237185242641,None,1918.9237185242641,None,1918.9237185242641,None,1918.9237185242641,None,1918.9237185242641,None,1918.9237185242641,None,1919.9400745675703,None,1919.9400745675703,None,11.604867261321033,h,,,,,,,,,,,,,,,,,,,,,,,,,,,13_14,001,2021_Apr_12_1051,ComputerHuman,2020.1.3,59.9558616498,
