Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrRight.keys,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrRight.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['t', 'v']","[353.66905794237573, 355.0928234782359]",18.90631423820014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
,,,,,,,,,,,,,,,,,,,,,,v,6.709862111619259,t,6.709862111619259,5.68508814026427,7,False,True,False,450.28412660427057,None,450.28412660427057,None,5.68508814026427,451.2839533776623,None,"['space', 'space']","[108.76912293443274, 110.0772228181786]",452.2670191935076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,562.4310769819049,None,562.4310769819049,None,565.4775600968014,None,565.4775600968014,None,565.91071355248,None,565.91071355248,None,v,10.180975933049922,565.91071355248,None,t,7.583991487516869,565.91071355248,None,10.180975933049922,7.583991487516869,9.50635803893469,False,False,False,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,576.1595798805629,None,577.1606978337686,None,577.1606978337686,None,578.1744334206733,None,578.1744334206733,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.2246951211682,None,579.2246951211682,None,579.6745081647468,None,579.6745081647468,None,v,8.71658330403443,579.6745081647468,None,t,8.18000843036134,579.6745081647468,None,8.71658330403443,8.18000843036134,8.975987880692635,False,False,False,588.489024169603,None,588.489024169603,None,588.489024169603,None,588.489024169603,None,588.489024169603,None,588.489024169603,None,588.489024169603,None,588.489024169603,None,589.4584025170461,None,589.4584025170461,None,590.4552289414187,None,590.4552289414187,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.5050194013802,None,591.5050194013802,None,591.9553726553459,None,591.9553726553459,None,v,10.079166484885718,591.9553726553459,None,t,8.858953121030027,591.9553726553459,None,10.079166484885718,8.858953121030027,10.689501249652254,False,False,False,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,602.1194731088144,None,603.1048415553951,None,603.1048415553951,None,604.0857731552642,None,604.0857731552642,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.1521661025035,None,605.1521661025035,None,605.586109663991,None,605.586109663991,None,v,5.612110657158155,605.586109663991,None,t,4.887118805223508,605.586109663991,None,5.612110657158155,4.887118805223508,6.421898606896571,False,False,False,611.28431105853,None,611.28431105853,None,611.28431105853,None,611.28431105853,None,611.28431105853,None,611.28431105853,None,611.28431105853,None,611.28431105853,None,612.269604761037,None,612.269604761037,None,613.2672004398673,None,613.2672004398673,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.3172648545024,None,614.3172648545024,None,614.7672687681406,None,614.7672687681406,None,v,5.23065347492593,614.7672687681406,None,t,5.398275881980226,614.7672687681406,None,5.23065347492593,5.398275881980226,5.550197933452106,True,False,False,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,620.2491845517789,None,621.2178667848884,None,621.2178667848884,None,622.2153524327432,None,622.2153524327432,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.282862691608,None,623.282862691608,None,623.7155221306612,None,623.7155221306612,None,v,6.581989757815791,623.7155221306612,None,t,5.805100497096646,623.7155221306612,None,6.581989757815791,5.805100497096646,7.477416658764084,False,False,False,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,630.3650006544112,None,631.3667922666509,None,631.3667922666509,None,632.3632940515263,None,632.3632940515263,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.4303981902303,None,633.4303981902303,None,633.8632911644163,None,633.8632911644163,None,v,8.161781783232982,633.8632911644163,None,t,7.541043478596293,633.8632911644163,None,8.161781783232982,7.541043478596293,8.571921042152317,False,False,False,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,642.1112201440728,None,643.0801891634565,None,643.0801891634565,None,644.0775259647435,None,644.0775259647435,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.1444530273593,None,645.1444530273593,None,645.5944386559668,None,645.5944386559668,None,v,7.6422254614890335,645.5944386559668,None,t,7.4940339472823325,645.5944386559668,None,7.6422254614890335,7.4940339472823325,8.357691121247445,True,False,False,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,653.3254690591612,None,654.3106575425427,None,654.3106575425427,None,655.2918788157967,None,655.2918788157967,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55_56Exp,001,2021_May_19_1853,ComputerHuman,2020.1.3,59.990262395744224,
