Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrRight.keys,key_respPrRight.rt,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 't']","[238.86703276328421, 239.27078853092576]",16.948528770202756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
,,,,,,,,,,,,,,,,,,,,,,v,8.140307988215909,t,7.551895302226967,8.140307988215909,7.551895302226967,7,False,False,False,327.892255449427,None,327.892255449427,None,328.90871632441485,None,"['space', 'space']","[118.96680077449355, 119.88276386158691]",329.8918785317985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,8,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,449.8487995734897,None,449.8487995734897,None,452.913075096106,None,452.913075096106,None,453.329755449427,None,453.329755449427,None,v,10.15195041239599,453.329755449427,None,t,11.831601543854731,453.329755449427,None,10.15195041239599,11.831601543854731,10.415560006616744,False,False,False,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,465.22697177640816,None,466.2300458203524,None,466.2300458203524,None,467.24301531536616,None,467.24301531536616,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,8,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.2764413330117,None,468.2764413330117,None,468.7264344682992,None,468.7264344682992,None,v,7.886423972346165,468.7264344682992,None,t,8.025888627416862,468.7264344682992,None,7.886423972346165,8.025888627416862,7.34593310615483,True,False,False,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,476.84077748322966,None,477.8258355060898,None,477.8258355060898,None,478.82354833784143,None,478.82354833784143,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,8,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.8571648993775,None,479.8571648993775,None,480.3239188398509,None,480.3239188398509,None,v,8.0161933436666,480.3239188398509,None,t,7.931900447553517,480.3239188398509,None,8.0161933436666,7.931900447553517,7.194993635597179,True,False,False,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,488.42250381087797,None,489.4232672695639,None,489.4232672695639,None,490.4209095295041,None,490.4209095295041,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,8,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.4875771157431,None,491.4875771157431,None,491.920773518377,None,491.920773518377,None,v,8.798490212331444,491.920773518377,None,t,9.801743893613775,491.920773518377,None,8.798490212331444,9.801743893613775,8.283366698200528,False,False,False,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,501.80203387960205,None,502.7872147615701,None,502.7872147615701,None,503.78439124755573,None,503.78439124755573,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,8,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.8516946216582,None,504.8516946216582,None,505.301165204761,None,505.301165204761,None,v,11.797065303304862,505.301165204761,None,t,11.676640922925344,505.301165204761,None,11.797065303304862,11.676640922925344,9.365961706538437,True,False,False,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,517.1812505453277,None,518.1505604684942,None,518.1505604684942,None,519.1475031051598,None,519.1475031051598,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,8,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.2147638153945,None,520.2147638153945,None,520.6473780005851,None,520.6473780005851,None,v,10.814010878324098,520.6473780005851,None,t,10.476710981487031,520.6473780005851,None,10.814010878324098,10.476710981487031,8.597604590246778,False,False,False,531.52862488901,None,531.52862488901,None,531.52862488901,None,531.52862488901,None,531.52862488901,None,531.52862488901,None,531.52862488901,None,531.52862488901,None,532.5127747809709,None,532.5127747809709,None,533.5107618804436,None,533.5107618804436,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,8,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.5605663323702,None,534.5605663323702,None,535.0104779892938,None,535.0104779892938,None,v,11.053833460790202,535.0104779892938,None,t,10.956701306733294,535.0104779892938,None,11.053833460790202,10.956701306733294,9.19856217763807,True,False,False,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,546.1416886294699,None,547.1434404142951,None,547.1434404142951,None,548.1239908230984,None,548.1239908230984,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,8,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.1907937789024,None,549.1907937789024,None,549.6241467226453,None,549.6241467226453,None,v,9.671734578134647,549.6241467226453,None,t,9.55075588825548,549.6241467226453,None,9.671734578134647,9.55075588825548,8.094570437523837,True,False,False,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,559.3726631107029,None,560.3731753978968,None,560.3731753978968,None,561.3709562352121,None,561.3709562352121,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83_84Exp,001,2021_May_31_1038,ComputerHuman,2020.1.3,60.03262190366982,
