Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrRight.keys,key_respPrRight.rt,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrLeft.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 't']","[315.8774738273851, 316.677446239275]",21.98028540861651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
,,,,,,,,,,,,,,,,,,,,,,v,t,9.960180413405396,7.784874337765359,9.960180413405396,10,False,False,True,400.2213349116291,None,400.2213349116291,None,7.784874337765359,401.22117996910765,None,"['space', 'space']","[3.339396301589659, 4.655414567484513]",402.20425947579315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,406.9557477099461,None,406.9557477099461,None,410.0029211316896,None,410.0029211316896,None,410.4363787719112,None,410.4363787719112,None,v,4.99879959644386,410.4363787719112,None,t,4.502308579420969,410.4363787719112,None,4.99879959644386,4.502308579420969,7.051038462969152,False,False,False,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,415.51827022553243,None,416.50521495468,None,416.50521495468,None,417.5012329639412,None,417.5012329639412,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.5520666220764,None,418.5520666220764,None,418.98461898735513,None,418.98461898735513,None,v,6.830227906656546,418.98461898735513,None,t,7.23321736703565,418.98461898735513,None,6.830227906656546,7.23321736703565,8.003647545279282,False,False,False,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,426.3012345679008,None,427.3019925993285,None,427.3019925993285,None,428.29903489735443,None,428.29903489735443,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,4,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.34929722498873,None,429.34929722498873,None,429.7992567250021,None,429.7992567250021,None,v,8.03122685285416,429.7992567250021,None,t,6.590266530009103,429.7992567250021,None,8.03122685285416,6.590266530009103,9.31327189834454,False,False,False,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,437.88089507375753,None,438.88235660197824,None,438.88235660197824,None,439.8968734010523,None,439.8968734010523,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,4,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.94690058817196,None,440.94690058817196,None,441.3966243060868,None,441.3966243060868,None,v,8.44547162033632,441.3966243060868,None,t,6.381212497413799,441.3966243060868,None,8.44547162033632,6.381212497413799,8.442218386603585,False,False,False,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,449.9281143687531,None,450.89694686241364,None,450.89694686241364,None,451.89438918802716,None,451.89438918802716,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,4,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.9614074426945,None,452.9614074426945,None,453.39463282952875,None,453.39463282952875,None,v,6.859138962270663,453.39463282952875,None,t,6.250286707824671,453.39463282952875,None,6.859138962270663,6.250286707824671,7.5468916601421006,False,False,False,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,460.32664867023686,None,461.3278266183552,None,461.3278266183552,None,462.32554161714415,None,462.32554161714415,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,4,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.3588420693004,None,463.3588420693004,None,463.8081753833858,None,463.8081753833858,None,v,5.565297686929625,463.8081753833858,None,t,5.116349002417337,463.8081753833858,None,5.565297686929625,5.116349002417337,6.602086753545969,False,False,False,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,469.4574987529204,None,470.4266292623224,None,470.4266292623224,None,471.4237989147605,None,471.4237989147605,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.4739852146977,None,472.4739852146977,None,472.9244092214858,None,472.9244092214858,None,v,7.900706544316563,472.9244092214858,None,t,8.268211600799987,472.9244092214858,None,7.900706544316563,8.268211600799987,10.013966260045173,False,False,False,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,481.2723562330675,None,482.27427007796814,None,482.27427007796814,None,483.25472582712155,None,483.25472582712155,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,4,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.30451209947114,None,484.30451209947114,None,484.7550544784963,None,484.7550544784963,None,v,8.769646022098641,484.7550544784963,None,t,6.305333326918117,484.7550544784963,None,8.769646022098641,6.305333326918117,9.30450032916496,False,False,False,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,493.6030565059009,None,494.60488309538505,None,494.60488309538505,None,495.6023440269337,None,495.6023440269337,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_24Exp,001,2021_May_03_1549,ComputerHuman,2020.1.3,60.002367537957056,
