Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrRight.keys,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrRight.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 'v', 't']","[71.97870369924749, 116.46148165613522, 409.5831633921498]",20.381932501511983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
,,,,,,,,,,,,,,,,,,,,,,v,8.472061156369818,t,8.472061156369818,9.279498789801437,8,False,False,False,505.93952916909257,None,505.93952916909257,None,9.279498789801437,506.93930236698543,None,"['space', 'space']","[36.73616563290307, 53.19583800491091]",507.9224420203027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number8.jpg,8,Computer,,,,,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,561.1986266763543,None,561.1986266763543,None,564.2624151697564,None,564.2624151697564,None,564.6955231445609,None,564.6955231445609,None,v,8.118485654847973,564.6955231445609,None,t,9.22950255914293,564.6955231445609,None,8.118485654847973,9.22950255914293,7.447071156492582,False,False,False,574.026491897519,None,574.026491897519,None,574.026491897519,None,574.026491897519,None,574.026491897519,None,574.026491897519,None,574.026491897519,None,574.026491897519,None,575.0262769648289,None,575.0262769648289,None,576.0094175805316,None,576.0094175805316,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number7.jpg,7,Computer,,,,,0,0,0,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0592145974588,None,577.0592145974588,None,577.5093381837542,None,577.5093381837542,None,v,6.516400807762693,577.5093381837542,None,t,8.107459928687604,577.5093381837542,None,6.516400807762693,8.107459928687604,6.66746272690509,False,True,False,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,585.7076633127544,None,586.6907211633315,None,586.6907211633315,None,587.673962187886,None,587.673962187886,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number8.jpg,8,Computer,,,,,0,0,0,1,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.7410118838525,None,588.7410118838525,None,589.190800239312,None,589.190800239312,None,v,7.454725712206709,589.190800239312,None,t,9.637619315712072,589.190800239312,None,7.454725712206709,9.637619315712072,7.568753245801717,False,True,False,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,598.9063583184561,None,599.9048303715917,None,599.9048303715917,None,600.8880819823844,None,600.8880819823844,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number10.jpg,10,Computer,,,,,0,0,0,1,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.9546350876008,None,601.9546350876008,None,602.3881453394079,None,602.3881453394079,None,v,9.309028616522482,602.3881453394079,None,t,12.640398042507513,602.3881453394079,None,9.309028616522482,12.640398042507513,10.298884233594574,False,False,False,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,615.1186328997792,None,616.1018242010996,None,616.1018242010996,None,617.0849856684799,None,617.0849856684799,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number6.jpg,6,Computer,,,,,0,0,0,1,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.1516792819311,None,618.1516792819311,None,618.5852206508607,None,618.5852206508607,None,v,6.22764034382817,618.5852206508607,None,t,6.842503741272594,618.5852206508607,None,6.22764034382817,6.842503741272594,5.7204696821567005,False,False,False,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,625.5166827866178,None,626.5164187722839,None,626.5164187722839,None,627.4996819316984,None,627.4996819316984,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number9.jpg,9,Computer,,,,,0,0,0,1,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.550167054027,None,628.550167054027,None,628.9997603660904,None,628.9997603660904,None,v,9.476827208553004,628.9997603660904,None,t,10.056397054460831,628.9997603660904,None,9.476827208553004,10.056397054460831,8.354046243267554,False,False,False,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,639.1474050085726,None,640.1471644122794,None,640.1471644122794,None,641.1304490649618,None,641.1304490649618,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number9.jpg,9,Computer,,,,,0,0,0,1,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.1805572530957,None,642.1805572530957,None,642.6306779522365,None,642.6306779522365,None,v,8.225596237716672,642.6306779522365,None,t,9.332471357010945,642.6306779522365,None,8.225596237716672,9.332471357010945,9.148375692764736,False,False,True,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,652.0463022755594,None,653.044587625971,None,653.044587625971,None,654.0279152651929,None,654.0279152651929,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
Computer.xlsx,c,Sychronize.jpg,Number10.jpg,10,Computer,,,,,0,0,0,1,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0946557147236,None,655.0946557147236,None,655.5444713377638,None,655.5444713377638,None,v,9.33954745441224,655.5444713377638,None,t,11.566372016404785,655.5444713377638,None,9.33954745441224,11.566372016404785,9.581053572599016,False,True,False,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,667.2087143977624,None,668.1919676125308,None,668.1919676125308,None,669.1750976419953,None,669.1750976419953,None,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67_68Exp,001,2021_May_24_1441,ComputerHuman,2020.1.3,59.98054688096026,
