Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrLeft.rt,key_respPrRight.keys,key_respPrRight.rt,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['t', 't', 'v']","[65.11071564336089, 317.08834186378226, 319.4161327317379]",18.020476924484683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
,,,,,,,,,,,,,,,,,,,,,,v,7.568320627218782,t,3.4322378751894576,7.568320627218782,3.4322378751894576,7,False,False,False,398.14621984335463,None,398.14621984335463,None,399.16284338995683,None,"['space', 'space']","[77.98707585014563, 79.27108282420886]",400.1459718695696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,479.4838161016123,None,479.4838161016123,None,482.5306690319885,None,482.5306690319885,None,482.9967609426858,None,482.9967609426858,None,v,5.712025445383915,482.9967609426858,None,t,4.003270815926953,482.9967609426858,None,5.712025445383915,4.003270815926953,6.108050600318601,False,False,False,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,488.76291107749785,None,489.76505269843983,None,489.76505269843983,None,490.76190057630447,None,490.76190057630447,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,6,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.7955595690437,None,491.7955595690437,None,492.262225059465,None,492.262225059465,None,v,9.322287325590878,492.262225059465,None,t,1.7942978861283336,492.262225059465,None,9.322287325590878,1.7942978861283336,8.547062580591994,False,False,False,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,501.6601998867591,None,502.66208006056695,None,502.66208006056695,None,503.65921184114995,None,503.65921184114995,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,6,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.6767284783273,None,504.6767284783273,None,505.1422833798206,None,505.1422833798206,None,v,6.297945474638254,505.1422833798206,None,t,4.713193456442241,505.1422833798206,None,6.297945474638254,4.713193456442241,6.202833208578765,False,False,False,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,511.4917945699199,None,512.4929625809782,None,512.4929625809782,None,513.4906291252119,None,513.4906291252119,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.5408924169096,None,514.5408924169096,None,514.9903662345023,None,514.9903662345023,None,v,7.597606555747916,514.9903662345023,None,t,3.1332164573723276,514.9903662345023,None,7.597606555747916,3.1332164573723276,6.700491764229271,False,False,False,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,522.6396193458058,None,523.6411825751093,None,523.6411825751093,None,524.6384709031772,None,524.6384709031772,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,6,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.6723018415178,None,525.6723018415178,None,526.1382044837374,None,526.1382044837374,None,v,10.813345031623612,526.1382044837374,None,t,1.4772828104141809,526.1382044837374,None,10.813345031623612,1.4772828104141809,9.34924738400475,False,False,False,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,537.0031238922566,None,538.0215358655732,None,538.0215358655732,None,539.0023677807294,None,539.0023677807294,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0365875214338,None,540.0365875214338,None,540.502495617151,None,540.502495617151,None,v,7.1049605984735535,540.502495617151,None,t,3.824205513486959,540.502495617151,None,7.1049605984735535,3.824205513486959,6.755659731129083,False,False,False,547.668060623655,None,547.668060623655,None,547.668060623655,None,547.668060623655,None,547.668060623655,None,547.668060623655,None,547.668060623655,None,547.668060623655,None,548.686364489382,None,548.686364489382,None,549.6838513889561,None,549.6838513889561,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,6,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.7011306385575,None,550.7011306385575,None,551.1835169611804,None,551.1835169611804,None,v,9.731754919775994,551.1835169611804,None,t,2.163264913313469,551.1835169611804,None,9.731754919775994,2.163264913313469,9.144450913321368,False,False,False,560.965584254147,None,560.965584254147,None,560.965584254147,None,560.965584254147,None,560.965584254147,None,560.965584254147,None,560.965584254147,None,560.965584254147,None,561.9671391428055,None,561.9671391428055,None,562.9643456683989,None,562.9643456683989,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,6,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.998395709059,None,563.998395709059,None,564.4649306363099,None,564.4649306363099,None,v,8.157780939382064,564.4649306363099,None,t,3.23321244744875,564.4649306363099,None,8.157780939382064,3.23321244744875,8.013132142952891,False,False,False,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,572.6794058252999,None,573.6817450553608,None,573.6817450553608,None,574.6787501223007,None,574.6787501223007,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_8Exp,001,2021_Apr_26_1501,ComputerHuman,2020.1.3,59.997247713127976,
