Condition,CorrectTuringReply,Sychronize,NumberImage,Number,Partner,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,key_resp_Istr.keys,key_resp_Istr.rt,key_resp_Istr.started,key_resp_Istr.stopped,key_respPrLeft.keys,key_respPrRight.keys,RTPrLeft,RTPrRight,CompPr,SychronizedRTsPr,SychronizedRTsLeftCPr,SychronizedRTsRightCPr,CreditLeftPr.started,CreditLeftPr.stopped,CreditRightPr.started,CreditRightPr.stopped,key_respPrLeft.rt,key_respPrRight.rt,text_StartExp.started,text_StartExp.stopped,key_startExp.keys,key_startExp.rt,key_startExp.started,key_startExp.stopped,SychroLeft.started,SychroLeft.stopped,SychroRight.started,SychroRight.stopped,NumberLeft.started,NumberLeft.stopped,NumberRight.started,NumberRight.stopped,CrossLeft.started,CrossLeft.stopped,CrossRight.started,CrossRight.stopped,key_respLeft.keys,key_respLeft.rt,key_respLeft.started,key_respLeft.stopped,key_respRight.keys,key_respRight.rt,key_respRight.started,key_respRight.stopped,RTLeft,RTRight,Comp,SychronizedRTs,SychronizedRTsLeftC,SychronizedRTsRightC,FeedbackLeftLeft.started,FeedbackLeftLeft.stopped,FeedbackLeftRight.started,FeedbackLeftRight.stopped,FeedbackRightLeft.started,FeedbackRightLeft.stopped,FeedbackRightRight.started,FeedbackRightRight.stopped,textLeftLeft.started,textLeftLeft.stopped,textLeftRight.started,textLeftRight.stopped,textRightLeft.started,textRightLeft.stopped,textRightRight.started,textRightRight.stopped,CreditLeft.started,CreditLeft.stopped,CreditRight.started,CreditRight.stopped,BlankLeft.started,BlankLeft.stopped,BlankRight.started,BlankRight.stopped,CorrectTuringReply,TuringtextLeft.started,TuringtextLeft.stopped,TuringtextRight.started,TuringtextRight.stopped,keyTuringLeft.keys,keyTuringLeft.corr,keyTuringLeft.rt,keyTuringLeft.started,keyTuringLeft.stopped,keyTuringRight.keys,keyTuringRight.corr,keyTuringRight.rt,keyTuringRight.started,keyTuringRight.stopped,RespTuringLeft,RespTuringRight,ScoreLeft.started,ScoreLeft.stopped,ScoreRight.started,ScoreRight.stopped,BlockText.started,BlockText.stopped,text_Pause.started,text_Pause.stopped,text_LongPause.started,text_LongPause.stopped,key_respPause.keys,key_respPause.started,key_respPause.stopped,key_respPause.rt,QuestImageLeft.started,QuestImageLeft.stopped,QuestImageRight.started,QuestImageRight.stopped,respQuestLeft.keys,respQuestLeft.rt,respQuestLeft.started,respQuestLeft.stopped,respQuestRight.keys,respQuestRight.rt,respQuestRight.started,respQuestRight.stopped,RespInclusionLeft,RespInclusionRight,EndText.started,EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"['v', 't']","[68.58573493549557, 76.2293659180068]",25.27911291010605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
,,,,,,,,,,,,,,,,,,,,,,v,t,7.390375434591988,6.313151085523714,7,False,False,False,180.14769700900797,None,180.14769700900797,None,7.390375434591988,6.313151085523714,181.16422159731883,None,"['space', 'space']","[163.64887944480142, 173.58056731254692]",182.1472658658422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,355.7981021360174,None,355.7981021360174,None,358.8612918768631,None,358.8612918768631,None,359.29510594765816,None,359.29510594765816,None,v,8.944245233204128,359.29510594765816,None,t,7.315195486855373,359.29510594765816,None,8.944245233204128,7.315195486855373,8.495146331319585,False,False,False,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,368.3108641661638,None,369.3132431525555,None,369.3132431525555,None,370.3257921774457,None,370.3257921774457,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number10.jpg,10,Human,,,,,0,0,0,6,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.35902292180253,None,371.35902292180253,None,371.8090472056829,None,371.8090472056829,None,v,9.497982865908853,371.8090472056829,None,t,9.021366287557612,371.8090472056829,None,9.497982865908853,9.021366287557612,9.52629536173167,False,False,False,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,381.37533290090505,None,382.37569347003955,None,382.37569347003955,None,383.3565213932343,None,383.3565213932343,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,6,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.40760736715674,None,384.40760736715674,None,384.85646204688965,None,384.85646204688965,None,v,7.262152366762166,384.85646204688965,None,t,7.061258578753041,384.85646204688965,None,7.262152366762166,7.061258578753041,7.4482502036841645,True,False,False,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,392.20466821544323,None,393.1906409854164,None,393.1906409854164,None,394.1870452385956,None,394.1870452385956,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.2377276573825,None,395.2377276573825,None,395.6879155446986,None,395.6879155446986,None,v,5.710304193315096,395.6879155446986,None,t,5.665248449458886,395.6879155446986,None,5.710304193315096,5.665248449458886,6.7354708896587345,True,False,False,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,401.48608857554063,None,402.45505172113917,None,402.45505172113917,None,403.45243149988164,None,403.45243149988164,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number7.jpg,7,Human,,,,,0,0,0,6,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.5026882289567,None,404.5026882289567,None,404.9526951901207,None,404.9526951901207,None,v,5.62921912402453,404.9526951901207,None,t,5.724270152251847,404.9526951901207,None,5.62921912402453,5.724270152251847,6.677556896962527,True,False,False,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,410.7522165057235,None,411.75282953741043,None,411.75282953741043,None,412.75049706572463,None,412.75049706572463,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number8.jpg,8,Human,,,,,0,0,0,6,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.784708789095,None,413.784708789095,None,414.2504486262769,None,414.2504486262769,None,v,6.915221984196251,414.2504486262769,None,t,6.82621465925331,414.2504486262769,None,6.915221984196251,6.82621465925331,8.17238375480029,True,False,False,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,421.2488254235868,None,422.21744820988897,None,422.21744820988897,None,423.23184691594724,None,423.23184691594724,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number9.jpg,9,Human,,,,,0,0,0,6,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.2987860625253,None,424.2987860625253,None,424.73200570751214,None,424.73200570751214,None,v,7.585157511610305,424.73200570751214,None,t,7.972198323288467,424.73200570751214,None,7.585157511610305,7.972198323288467,9.335755908678529,False,False,False,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,432.7814938212432,None,433.76533493472016,None,433.76533493472016,None,434.76264959288164,None,434.76264959288164,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
Human.xlsx,h,Sychronize.jpg,Number6.jpg,6,Human,,,,,0,0,0,6,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.82955024453986,None,435.82955024453986,None,436.2625886425849,None,436.2625886425849,None,v,5.1383064927467785,436.2625886425849,None,t,5.093283148780756,436.2625886425849,None,5.1383064927467785,5.093283148780756,5.995229781928683,True,False,False,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,441.4946812844719,None,442.47965831904,None,442.47965831904,None,443.47773613909885,None,443.47773613909885,None,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77_78Exp,001,2021_May_27_1515,ComputerHuman,2020.1.3,59.98002778389478,
